elapsed_time,n_trial,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
104.34174799919128,15,1.481043815612793,BKPIECEkConfigDefault,1,4.174309968948364,1.702640242475187,1.702640242475187,7.57264084639893,1.0,"{'border_fraction': 0.1381559726078575, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 4.26633929947858, 'failed_expansion_score_factor': 0.18308630862353892, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.06087290364299658, 'type': 'geometric::BKPIECE'}",
114.90966796875,16,2.9958510398864746,BKPIECEkConfigDefault,1,2.3464910984039307,1.702817387337876,1.702817387337876,7.134217862721291,1.0,"{'border_fraction': 0.7726632092978957, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.8129546445939402, 'failed_expansion_score_factor': 0.6702794434571205, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.9922317737024225, 'type': 'geometric::BKPIECE'}",
118.52712798118591,17,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.6686092117405886, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 9.941362329843956, 'failed_expansion_score_factor': 0.478939151881544, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.03851554986963501, 'type': 'geometric::BKPIECE'}",
128.65428495407104,18,2.239223003387451,BKPIECEkConfigDefault,1,2.8726749420166016,1.7029119530073222,1.7029119530073222,7.924080784419559,1.0,"{'border_fraction': 0.393280978801105, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 2.6158669229259646, 'failed_expansion_score_factor': 0.07261040745314262, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.7163857300662407, 'type': 'geometric::BKPIECE'}",
138.95098304748535,19,2.216702938079834,BKPIECEkConfigDefault,1,3.5497841835021973,1.702804517427537,1.702804517427537,7.724253208672302,1.0,"{'border_fraction': 0.9164248838034345, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 2.1429404455278735, 'failed_expansion_score_factor': 0.11519880651892533, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.10489775500758358, 'type': 'geometric::BKPIECE'}",
143.03582906723022,20,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.6915003321193692, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 9.206824094185286, 'failed_expansion_score_factor': 0.5526737635636035, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.16417328796840014, 'type': 'geometric::BKPIECE'}",
146.70991706848145,21,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.010278257359128795, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 8.09098857726029, 'failed_expansion_score_factor': 0.30190151437868507, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.5926575903538948, 'type': 'geometric::BKPIECE'}",
150.1853470802307,22,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.1274794357718409, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.11186199151460485, 'failed_expansion_score_factor': 0.004067718528403735, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.015074896917724179, 'type': 'geometric::BKPIECE'}",
159.135901927948,23,1.9096291065216064,BKPIECEkConfigDefault,1,2.269979953765869,1.7030276629892414,1.7030276629892414,6.9519495208514055,1.0,"{'border_fraction': 0.2769053864637009, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 4.613831069303265, 'failed_expansion_score_factor': 0.9999476229170527, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.24122002485777524, 'type': 'geometric::BKPIECE'}",
163.0729160308838,24,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.522543570894586, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 14.91548065179014, 'failed_expansion_score_factor': 0.598708829273854, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.8459652532097767, 'type': 'geometric::BKPIECE'}",
167.8571810722351,25,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.07328379278180287, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 7.8530374156097125, 'failed_expansion_score_factor': 0.2855962406742292, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.5843938230216603, 'type': 'geometric::BKPIECE'}",
171.43855810165405,26,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.2592937329097722, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.16992074735960383, 'failed_expansion_score_factor': 0.3883264305516205, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.23871776478725087, 'type': 'geometric::BKPIECE'}",
176.08392906188965,27,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.5385898296329756, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 6.450950377591158, 'failed_expansion_score_factor': 0.9014575101249455, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.6194576477829153, 'type': 'geometric::BKPIECE'}",
179.87886500358582,28,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.5660117807835828, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 6.8609101703635975, 'failed_expansion_score_factor': 0.9002152285182863, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.5090526935638048, 'type': 'geometric::BKPIECE'}",
184.1103241443634,29,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.21813719406315957, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 4.975366573951729, 'failed_expansion_score_factor': 0.6297089042965067, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.8021754039346924, 'type': 'geometric::BKPIECE'}",
192.7607340812683,30,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.3332761200063713, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 3.3047966874778982, 'failed_expansion_score_factor': 0.414829001820518, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.691744676645078, 'type': 'geometric::BKPIECE'}",
199.4179811477661,31,2.6874749660491943,BKPIECEkConfigDefault,1,3.041747808456421,1.7030819738303338,1.7030819738303338,7.758823474033445,1.0,"{'border_fraction': 0.7569042157173946, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 8.556081381995735, 'failed_expansion_score_factor': 0.8668089871071114, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.8787244734830164, 'type': 'geometric::BKPIECE'}",
203.10371899604797,32,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.466150509229941, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 7.165441261384601, 'failed_expansion_score_factor': 0.800554004178407, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.0012351629476155743, 'type': 'geometric::BKPIECE'}",
207.16815996170044,33,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.07651821866264366, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 4.235520755874516, 'failed_expansion_score_factor': 0.23615247442354978, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.3040277544518458, 'type': 'geometric::BKPIECE'}",
216.7542369365692,34,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.1968111492806438, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 5.347970480038326, 'failed_expansion_score_factor': 0.05844000395515364, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.18767671958247995, 'type': 'geometric::BKPIECE'}",
220.51155805587769,35,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.3362253825388276, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 3.272054598462198, 'failed_expansion_score_factor': 0.37173192579642717, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.056765796561153326, 'type': 'geometric::BKPIECE'}",
225.0375690460205,36,1.1185338497161865,BKPIECEkConfigDefault,1,2.828273057937622,1.702871779456691,1.702871779456691,7.263732248533773,1.0,"{'border_fraction': 0.45422081578629914, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.0670150179837594, 'failed_expansion_score_factor': 0.5231459183432013, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.45278148518561195, 'type': 'geometric::BKPIECE'}",
229.17999410629272,37,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.08510631488789436, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.0682347083221782, 'failed_expansion_score_factor': 0.5250823408116808, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.909786220596393, 'type': 'geometric::BKPIECE'}",
232.95737409591675,38,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.4638075201047456, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 2.799571030278691, 'failed_expansion_score_factor': 0.4478044033948595, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.541877647192784, 'type': 'geometric::BKPIECE'}",
242.0278549194336,39,0.5982940196990967,BKPIECEkConfigDefault,1,2.9857749938964844,1.7028897340427827,1.7028897340427827,7.072331716358302,1.0,"{'border_fraction': 0.1515011140686596, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.035069171095342, 'failed_expansion_score_factor': 0.6918801270705698, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.6751134190696453, 'type': 'geometric::BKPIECE'}",
255.0202510356903,40,1.85896897315979,BKPIECEkConfigDefault,1,3.412569046020508,1.7027857823352548,1.7027857823352548,6.912797867738642,1.0,"{'border_fraction': 0.3556145276409848, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.0375452546245363, 'failed_expansion_score_factor': 0.6968068991721117, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.678235843632803, 'type': 'geometric::BKPIECE'}",
259.06583404541016,41,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.42631934752688394, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.12622423421933837, 'failed_expansion_score_factor': 0.5786183050053032, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.7559188327891198, 'type': 'geometric::BKPIECE'}",
269.5173370838165,42,0.6645889282226562,BKPIECEkConfigDefault,1,3.594466209411621,1.7031079723463622,1.7031079723463622,8.826797988187494,1.0,"{'border_fraction': 0.0032449318455384235, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.2995919961050086, 'failed_expansion_score_factor': 0.7786952830884661, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.6409193805531803, 'type': 'geometric::BKPIECE'}",
273.60364294052124,43,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.009344208735564966, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 3.6433112004625, 'failed_expansion_score_factor': 0.9487858120928987, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.643547102593578, 'type': 'geometric::BKPIECE'}",
282.5702259540558,44,0.901745080947876,BKPIECEkConfigDefault,1,3.8761069774627686,1.7028194231626024,1.7028194231626024,8.021264810715829,1.0,"{'border_fraction': 0.04807484447019525, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 12.151091333214707, 'failed_expansion_score_factor': 0.785425664397675, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.77824496716517, 'type': 'geometric::BKPIECE'}",
290.5551631450653,45,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.17292601755413142, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 13.464467476465583, 'failed_expansion_score_factor': 0.8396342837218747, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.9351009457601633, 'type': 'geometric::BKPIECE'}",
294.6761131286621,46,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.23213488992703013, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 10.586061452506993, 'failed_expansion_score_factor': 0.7403111100963253, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.83090008142164, 'type': 'geometric::BKPIECE'}",
299.393639087677,47,1.5841948986053467,BKPIECEkConfigDefault,1,2.335977077484131,1.7030132143641543,1.7030132143641543,8.769700087854572,1.0,"{'border_fraction': 0.11710124452381016, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.680510358687061, 'failed_expansion_score_factor': 0.6543219868942662, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.732754823123186, 'type': 'geometric::BKPIECE'}",
303.25579714775085,48,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.03709643718046493, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 5.989951976548706, 'failed_expansion_score_factor': 0.9597156832442084, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.5464336317847743, 'type': 'geometric::BKPIECE'}",
312.4296691417694,49,1.644218921661377,BKPIECEkConfigDefault,1,2.3371009826660156,1.7030404152383207,1.7030404152383207,6.759718048695277,1.0,"{'border_fraction': 0.17490185774073055, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 2.4646216769197005, 'failed_expansion_score_factor': 0.6957217753465756, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.6654717946015483, 'type': 'geometric::BKPIECE'}",
316.3903000354767,50,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.2999295539296038, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.5768088019963793, 'failed_expansion_score_factor': 0.7709007430735857, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.4113021175353262, 'type': 'geometric::BKPIECE'}",
325.07732796669006,51,2.1052160263061523,BKPIECEkConfigDefault,1,2.872220039367676,1.7028917199370717,1.7028917199370717,7.522533632031681,1.0,"{'border_fraction': 0.0025131674975507738, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.6055307340353506, 'failed_expansion_score_factor': 0.8323273060934188, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.9972672163371752, 'type': 'geometric::BKPIECE'}",
334.4095160961151,52,0.9486229419708252,BKPIECEkConfigDefault,1,2.839984893798828,1.7030778636703674,1.7030778636703674,6.490611846865446,1.0,"{'border_fraction': 0.9795933908681747, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 2.9843126103092916, 'failed_expansion_score_factor': 0.9466438554536161, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.47226147863117496, 'type': 'geometric::BKPIECE'}",
338.084969997406,53,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.10943816599636103, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 3.9285873372399425, 'failed_expansion_score_factor': 0.6144414802125792, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.35126628283167266, 'type': 'geometric::BKPIECE'}",
346.92408514022827,54,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.3715086339262715, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 4.923549493211542, 'failed_expansion_score_factor': 0.7169366812265783, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.5792838929065217, 'type': 'geometric::BKPIECE'}",
351.35660314559937,55,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.24352508714431553, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 2.1777495863604424, 'failed_expansion_score_factor': 0.4809382680600841, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.7160741537355765, 'type': 'geometric::BKPIECE'}",
355.7115910053253,56,3,BKPIECEkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'border_fraction': 0.1522844681436723, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 8.913241145773425, 'failed_expansion_score_factor': 0.5684140457216482, 'longest_valid_segment_fraction': 0.005, 'min_valid_path_fraction': 0.6270897031865414, 'type': 'geometric::BKPIECE'}",
