n_trial,elapsed_time,,,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,122.1350140571,,,1.8013780117,BKPIECEkConfigDefault,1,3.8307611942,1.8013780117,1.7030990367,7.1672720954,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.7', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.1', 'failed_expansion_score_factor': '0.2', 'min_valid_path_fraction': '0.85', 'type': 'geometric::BKPIECE'}"
1,128.3013470172,,,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.5', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '0.6', 'failed_expansion_score_factor': '0.65', 'min_valid_path_fraction': '0.8', 'type': 'geometric::BKPIECE'}"
1,133.6925799846,,,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.7', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.5', 'failed_expansion_score_factor': '0.85', 'min_valid_path_fraction': '0.9', 'type': 'geometric::BKPIECE'}"
1,139.1569969653,,,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.95', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.6', 'failed_expansion_score_factor': '0.15', 'min_valid_path_fraction': '0.2', 'type': 'geometric::BKPIECE'}"
1,152.9690148829,,,2.3246371746,BKPIECEkConfigDefault,1,3.0193748474,2.3246371746,1.7030903002,8.5410782022,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.85', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.7', 'failed_expansion_score_factor': '0.2', 'min_valid_path_fraction': '0.15', 'type': 'geometric::BKPIECE'}"
1,163.6458129881,,,2.1270558834,BKPIECEkConfigDefault,1,2.630603075,2.1270558834,1.7030902597,7.2841151622,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.65', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.9', 'failed_expansion_score_factor': '0.2', 'min_valid_path_fraction': '0.15', 'type': 'geometric::BKPIECE'}"
1,171.0221779345,,,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.25', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.7', 'failed_expansion_score_factor': '0.95', 'min_valid_path_fraction': '0.1', 'type': 'geometric::BKPIECE'}"
1,179.9796447752,,,3.1643941402,BKPIECEkConfigDefault,1,4.0222320557,3.1643941402,1.7030332586,11.1731248885,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.95', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '0.5', 'failed_expansion_score_factor': '0.7', 'min_valid_path_fraction': '0.65', 'type': 'geometric::BKPIECE'}"
1,184.9854938982,,,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.25', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.3', 'failed_expansion_score_factor': '0.8', 'min_valid_path_fraction': '0.55', 'type': 'geometric::BKPIECE'}"
1,194.8008210657,,,1.5760741234,BKPIECEkConfigDefault,1,3.8775088787,1.5760741234,1.7029244498,13.8642936176,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.15', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.3', 'failed_expansion_score_factor': '0.8', 'min_valid_path_fraction': '0.55', 'type': 'geometric::BKPIECE'}"
1,204.5110061167,,,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.2', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.2', 'failed_expansion_score_factor': '0.1', 'min_valid_path_fraction': '0.7', 'type': 'geometric::BKPIECE'}"
1,209.9482750891,,,1.594481945,BKPIECEkConfigDefault,1,1.9539010525,1.594481945,1.7031714096,7.1536201303,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.2', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.8', 'failed_expansion_score_factor': '0.2', 'min_valid_path_fraction': '0.6', 'type': 'geometric::BKPIECE'}"
1,218.9036641119,,,2.7482168674,BKPIECEkConfigDefault,1,2.0199668407,2.7482168674,1.7030423617,6.8134935235,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.8', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.0', 'failed_expansion_score_factor': '0.8', 'min_valid_path_fraction': '0.5', 'type': 'geometric::BKPIECE'}"
1,227.2550671099,,,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.9', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '0.7', 'failed_expansion_score_factor': '0.6', 'min_valid_path_fraction': '0.65', 'type': 'geometric::BKPIECE'}"
1,232.2638139723,,,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.2', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.3', 'failed_expansion_score_factor': '0.95', 'min_valid_path_fraction': '0.8', 'type': 'geometric::BKPIECE'}"
1,237.5581490992,636.187013,636.187013,0.4055538177,BKPIECEkConfigDefault,1,2.0981020927,0.4055538177,1.7030441203,7.1323074183,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.2', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.3', 'failed_expansion_score_factor': '0.95', 'min_valid_path_fraction': '0.95', 'type': 'geometric::BKPIECE'}"
1,246.0335230826,,,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.1', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '0.4', 'failed_expansion_score_factor': '0.95', 'min_valid_path_fraction': '0.6', 'type': 'geometric::BKPIECE'}"
1,252.5378870963,,,0.7757971287,BKPIECEkConfigDefault,1,2.4900581837,0.7757971287,1.7028514173,7.4380203964,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': '0.65', 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': '1.5', 'failed_expansion_score_factor': '0.45', 'min_valid_path_fraction': '0.4', 'type': 'geometric::BKPIECE'}"
