elapsed_time,n_trial,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
4007.6165549755,1636,0.1550290585,RRTConnectkConfigDefault,1,0.7533481121,0.1550290585,1.7029601353,7.2590919305,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4009.5452859402,1637,0.1724460125,RRTConnectkConfigDefault,1,0.717936039,0.1724460125,1.7029604168,7.1000940545,1,"{'default': 1.6, 'type': 'geometric::RRTConnect'}"
4011.8263149262,1638,0.1029238701,RRTConnectkConfigDefault,1,1.0610020161,0.1029238701,1.7027671304,10.0610941917,1,"{'default': 1.5, 'type': 'geometric::RRTConnect'}"
4014.221200943,1639,0.1719219685,RRTConnectkConfigDefault,1,0.9307129383,0.1719219685,1.7027417676,7.7344199078,1,"{'default': 1.6, 'type': 'geometric::RRTConnect'}"
4017.4199500084,1640,0.2804229259,RRTConnectkConfigDefault,1,1.2535328865,0.2804229259,1.7028512961,8.0969108408,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4019.9092710018,1641,0.1336939335,RRTConnectkConfigDefault,1,0.9980270863,0.1336939335,1.7030505009,7.8168274545,1,"{'default': 1.5, 'type': 'geometric::RRTConnect'}"
4022.0742108822,1642,0.0960810184,RRTConnectkConfigDefault,1,0.8600020409,0.0960810184,1.7028750492,7.1962272744,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4024.5636758804,1643,0.1365020275,RRTConnectkConfigDefault,1,0.7210590839,0.1365020275,1.7028294497,7.4609405937,1,"{'default': 1.6, 'type': 'geometric::RRTConnect'}"
4027.3828189373,1644,0.2992880344,RRTConnectkConfigDefault,1,0.9962880611,0.2992880344,1.7028542802,7.4837188447,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4029.855905056,1645,0.0893630981,RRTConnectkConfigDefault,1,0.8365631104,0.0893630981,1.7028980633,7.749638091,1,"{'default': 1.5, 'type': 'geometric::RRTConnect'}"
4032.4986460209,1646,0.201841116,RRTConnectkConfigDefault,1,0.8091599941,0.201841116,1.7028003428,8.0061879916,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4035.01978302,1647,0.2579519749,RRTConnectkConfigDefault,1,0.9350609779,0.2579519749,1.702911789,8.2442089267,1,"{'default': 1.4000000000000001, 'type': 'geometric::RRTConnect'}"
4037.57336092,1648,0.3473181725,RRTConnectkConfigDefault,1,0.7351570129,0.3473181725,1.702961269,7.7031755178,1,"{'default': 1.5, 'type': 'geometric::RRTConnect'}"
4039.9606990814,1649,0.1322638988,RRTConnectkConfigDefault,1,1.0376119614,0.1322638988,1.7027381283,9.2570382343,1,"{'default': 1.3, 'type': 'geometric::RRTConnect'}"
4042.1410629749,1650,0.1507217884,RRTConnectkConfigDefault,1,0.7183539867,0.1507217884,1.70285483,7.5894464723,1,"{'default': 1.6, 'type': 'geometric::RRTConnect'}"
