elapsed_time,n_trial,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
9.034897089004517,1,1.393099069595337,RRTConnectkConfigDefault,1,4.044344902038574,1.393099069595337,1.703094563032999,7.615858302214135,1.0,"{'range': 12.251643738294261, 'type': 'geometric::RRTConnect'}",
18.148951053619385,2,0.3444831371307373,RRTConnectkConfigDefault,1,4.052175045013428,0.3444831371307373,1.7028551849065596,6.572272466423114,1.0,"{'range': 14.132850022033132, 'type': 'geometric::RRTConnect'}",
29.403083086013794,3,1.2349400520324707,RRTConnectkConfigDefault,1,4.45317006111145,1.2349400520324707,1.7027819472733354,7.33625138608276,1.0,"{'range': 0.9035799215624347, 'type': 'geometric::RRTConnect'}",
35.521772146224976,4,0.22394299507141113,RRTConnectkConfigDefault,1,2.2948310375213623,0.22394299507141113,1.7029199429318145,7.025693281213455,1.0,"{'range': 4.047426021522227, 'type': 'geometric::RRTConnect'}",
43.51616811752319,5,0.2013561725616455,RRTConnectkConfigDefault,1,3.2184510231018066,0.2013561725616455,1.7029175091584332,8.450074835871382,1.0,"{'range': 12.952634832810183, 'type': 'geometric::RRTConnect'}",
46.92491412162781,6,3,RRTConnectkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'range': 0.23838990923414788, 'type': 'geometric::RRTConnect'}",
54.328235149383545,7,1.1814141273498535,RRTConnectkConfigDefault,1,2.551569938659668,1.1814141273498535,1.7026994632801122,8.536554973961858,1.0,"{'range': 0.7878925498478007, 'type': 'geometric::RRTConnect'}",
56.621525049209595,8,0.05447697639465332,RRTConnectkConfigDefault,1,1.04010009765625,0.05447697639465332,1.702861558617212,1.7028615586172118,1.0,"{'range': 7.663779413510965, 'type': 'geometric::RRTConnect'}",
66.6904091835022,9,0.5465059280395508,RRTConnectkConfigDefault,1,3.9207592010498047,0.5465059280395508,1.7030173975657283,8.267610668115045,1.0,"{'range': 8.569077870907197, 'type': 'geometric::RRTConnect'}",
74.14536499977112,10,0.42168498039245605,RRTConnectkConfigDefault,1,2.1429638862609863,0.42168498039245605,1.702652466946157,7.426742823586093,1.0,"{'range': 14.608496250175632, 'type': 'geometric::RRTConnect'}",
81.0057520866394,11,0.35950279235839844,RRTConnectkConfigDefault,1,2.9227747917175293,0.35950279235839844,1.7028961881035938,8.911813429208975,1.0,"{'range': 4.51832185701673, 'type': 'geometric::RRTConnect'}",
86.97485899925232,12,0.29454898834228516,RRTConnectkConfigDefault,1,2.491518974304199,0.29454898834228516,1.7030362188344705,7.1361683294891884,1.0,"{'range': 9.768297053559753, 'type': 'geometric::RRTConnect'}",
92.3027720451355,13,0.2913990020751953,RRTConnectkConfigDefault,1,2.145608901977539,0.2913990020751953,1.7027038843840727,7.551299253807172,1.0,"{'range': 7.196749649995048, 'type': 'geometric::RRTConnect'}",
98.45805215835571,14,0.701117992401123,RRTConnectkConfigDefault,1,2.7138450145721436,0.701117992401123,1.7030379169325434,7.7305082610682,1.0,"{'range': 8.854346264051856, 'type': 'geometric::RRTConnect'}",
104.45964503288269,15,0.5337028503417969,RRTConnectkConfigDefault,1,2.3474810123443604,0.5337028503417969,1.7027354159254902,7.129423035153319,1.0,"{'range': 4.856569286463302, 'type': 'geometric::RRTConnect'}",
110.67169713973999,16,0.3446629047393799,RRTConnectkConfigDefault,1,2.6897799968719482,0.3446629047393799,1.7028518764067984,9.505444375600442,1.0,"{'range': 3.6005221415228883, 'type': 'geometric::RRTConnect'}",
114.04631900787354,17,3,RRTConnectkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'range': 0.17315116066020042, 'type': 'geometric::RRTConnect'}",
120.93000411987305,18,0.3176541328430176,RRTConnectkConfigDefault,1,3.128469944000244,0.3176541328430176,1.7028402358767007,6.625167040373252,1.0,"{'range': 8.646638710423016, 'type': 'geometric::RRTConnect'}",
129.2476270198822,19,1.2768120765686035,RRTConnectkConfigDefault,1,3.072134017944336,1.2768120765686035,1.7028492263481159,8.160687035059768,1.0,"{'range': 5.2717406039095795, 'type': 'geometric::RRTConnect'}",
135.2282910346985,20,0.18967795372009277,RRTConnectkConfigDefault,1,2.728365898132324,0.18967795372009277,1.7029373763430076,8.291621185696075,1.0,"{'range': 10.224489622599652, 'type': 'geometric::RRTConnect'}",
141.0423719882965,21,0.6943991184234619,RRTConnectkConfigDefault,1,2.237931966781616,0.6943991184234619,1.7029025505511381,6.7501411430027325,1.0,"{'range': 6.521464061568381, 'type': 'geometric::RRTConnect'}",
147.49721908569336,22,0.27980804443359375,RRTConnectkConfigDefault,1,2.19724702835083,0.27980804443359375,1.7030134440808364,7.998161276015949,1.0,"{'range': 6.050492748422406, 'type': 'geometric::RRTConnect'}",
155.2715289592743,23,0.33733201026916504,RRTConnectkConfigDefault,1,3.910386085510254,0.33733201026916504,1.7028961577174209,8.472788647297813,1.0,"{'range': 4.017072358915648, 'type': 'geometric::RRTConnect'}",
162.7947859764099,24,0.5513219833374023,RRTConnectkConfigDefault,1,2.478681802749634,0.5513219833374023,1.7027481634545174,7.009656517462139,1.0,"{'range': 11.6268903197208, 'type': 'geometric::RRTConnect'}",
168.8766210079193,25,0.2875640392303467,RRTConnectkConfigDefault,1,2.295475959777832,0.2875640392303467,1.7028554845259725,8.211249459751876,1.0,"{'range': 12.025806253376754, 'type': 'geometric::RRTConnect'}",
175.7829351425171,26,0.2677159309387207,RRTConnectkConfigDefault,1,2.831170082092285,0.2677159309387207,1.7026745920322195,8.541354867806021,1.0,"{'range': 7.468228462076432, 'type': 'geometric::RRTConnect'}",
182.8942711353302,27,0.5958950519561768,RRTConnectkConfigDefault,1,2.555985927581787,0.5958950519561768,1.703000566177816,9.356770376944457,1.0,"{'range': 4.79344739139971, 'type': 'geometric::RRTConnect'}",
190.6346471309662,28,0.228255033493042,RRTConnectkConfigDefault,1,3.305144786834717,0.228255033493042,1.7027728629775787,7.049745362702137,1.0,"{'range': 12.362962545283859, 'type': 'geometric::RRTConnect'}",
196.4413390159607,29,0.28099989891052246,RRTConnectkConfigDefault,1,2.5320730209350586,0.28099989891052246,1.7026760746298255,8.595100708127726,1.0,"{'range': 11.449574755909826, 'type': 'geometric::RRTConnect'}",
202.35128903388977,30,0.5114791393280029,RRTConnectkConfigDefault,1,2.394178867340088,0.5114791393280029,1.7027231609243472,8.155113629558796,1.0,"{'range': 14.551331134752042, 'type': 'geometric::RRTConnect'}",
208.99703812599182,31,0.5377609729766846,RRTConnectkConfigDefault,1,2.122925043106079,0.5377609729766846,1.7028430042258753,7.13889996510484,1.0,"{'range': 3.1152121308265555, 'type': 'geometric::RRTConnect'}",
216.83904910087585,32,0.6633439064025879,RRTConnectkConfigDefault,1,2.5563859939575195,0.6633439064025879,1.702641469721956,7.2360176657132085,1.0,"{'range': 5.456709396491712, 'type': 'geometric::RRTConnect'}",
222.95416903495789,33,3,RRTConnectkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'range': 14.89890781899465, 'type': 'geometric::RRTConnect'}",
226.30405402183533,34,0.26407504081726074,RRTConnectkConfigDefault,1,2.712102174758911,0.26407504081726074,1.7029705968618178,7.721461155229279,1.0,"{'range': 13.805561849824313, 'type': 'geometric::RRTConnect'}",
231.30633807182312,35,3,RRTConnectkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'range': 11.631131134134046, 'type': 'geometric::RRTConnect'}",
234.82431507110596,36,0.5522270202636719,RRTConnectkConfigDefault,1,2.4542720317840576,0.5522270202636719,1.7028228972727408,8.125393605857164,1.0,"{'range': 2.616076423182397, 'type': 'geometric::RRTConnect'}",
241.22786211967468,37,0.44347310066223145,RRTConnectkConfigDefault,1,2.5323119163513184,0.44347310066223145,1.7027756391308764,7.156261702455345,1.0,"{'range': 5.363681379400625, 'type': 'geometric::RRTConnect'}",
247.60469102859497,38,0.4201338291168213,RRTConnectkConfigDefault,1,2.1551759243011475,0.4201338291168213,1.7028383933682312,7.709388522189031,1.0,"{'range': 6.164680127096419, 'type': 'geometric::RRTConnect'}",
248.93351817131042,39,3,RRTConnectkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'range': 1.8323809677125864, 'type': 'geometric::RRTConnect'}",
254.67935705184937,40,0.26493096351623535,RRTConnectkConfigDefault,1,2.1788511276245117,0.26493096351623535,1.7027960019799484,6.781452141030782,1.0,"{'range': 6.584081393776634, 'type': 'geometric::RRTConnect'}",
255.76692819595337,41,3,RRTConnectkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'range': 7.772723884580601, 'type': 'geometric::RRTConnect'}",
260.6164381504059,42,3,RRTConnectkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'range': 9.523242729875632, 'type': 'geometric::RRTConnect'}",
263.1762390136719,43,0.20077896118164062,RRTConnectkConfigDefault,1,2.076241970062256,0.20077896118164062,1.702939880699351,6.831203186474351,1.0,"{'range': 14.269767065478296, 'type': 'geometric::RRTConnect'}",
267.7654809951782,44,0.17648601531982422,RRTConnectkConfigDefault,1,1.9278059005737305,0.17648601531982422,1.7026829546212523,8.299129170623466,1.0,"{'range': 5.432904368572976, 'type': 'geometric::RRTConnect'}",
273.9720380306244,45,0.4523909091949463,RRTConnectkConfigDefault,1,2.3238182067871094,0.4523909091949463,1.7029456513084789,9.031707397681656,1.0,"{'range': 8.731320845826355, 'type': 'geometric::RRTConnect'}",
279.4890811443329,46,0.3943629264831543,RRTConnectkConfigDefault,1,2.2325730323791504,0.3943629264831543,1.7027062877348478,7.221021605898556,1.0,"{'range': 11.121930964312698, 'type': 'geometric::RRTConnect'}",
286.8354821205139,47,0.8976671695709229,RRTConnectkConfigDefault,1,2.199434995651245,0.8976671695709229,1.7027282737146552,6.718911372060915,1.0,"{'range': 1.3505924774580156, 'type': 'geometric::RRTConnect'}",
291.9480199813843,48,3,RRTConnectkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'range': 10.921951204025731, 'type': 'geometric::RRTConnect'}",
294.9491550922394,49,0.24906492233276367,RRTConnectkConfigDefault,1,2.4036319255828857,0.24906492233276367,1.7028209103313483,8.71264901821972,1.0,"{'range': 8.787268117140924, 'type': 'geometric::RRTConnect'}",
296.69708800315857,50,3,RRTConnectkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'range': 13.937822870959396, 'type': 'geometric::RRTConnect'}",
304.7494261264801,51,0.4925398826599121,RRTConnectkConfigDefault,1,2.7279388904571533,0.4925398826599121,1.7027617794913916,7.014520822436986,1.0,"{'range': 7.478350218451884, 'type': 'geometric::RRTConnect'}",
309.83558201789856,52,3,RRTConnectkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'range': 11.400478100845785, 'type': 'geometric::RRTConnect'}",
314.6425609588623,53,0.29646897315979004,RRTConnectkConfigDefault,1,4.248373985290527,0.29646897315979004,1.7029799192118322,8.475603109770608,1.0,"{'range': 12.089360003954893, 'type': 'geometric::RRTConnect'}",
321.24585008621216,54,0.20035505294799805,RRTConnectkConfigDefault,1,2.97379207611084,0.20035505294799805,1.7031322406830578,9.606799607837104,1.0,"{'range': 11.910222854164655, 'type': 'geometric::RRTConnect'}",
327.6440291404724,55,0.22919106483459473,RRTConnectkConfigDefault,1,2.5737991333007812,0.22919106483459473,1.7029283946534381,9.261044333142527,1.0,"{'range': 14.953855822886315, 'type': 'geometric::RRTConnect'}",
335.9364449977875,56,1.7303369045257568,RRTConnectkConfigDefault,1,2.1634650230407715,1.7303369045257568,1.7028973269557066,6.58181094857235,1.0,"{'range': 0.7930886639513945, 'type': 'geometric::RRTConnect'}",
341.8426480293274,57,1.16414213180542,RRTConnectkConfigDefault,1,2.032987117767334,1.16414213180542,1.7027803599717146,6.869113975138143,1.0,"{'range': 4.913114530159244, 'type': 'geometric::RRTConnect'}",
350.3582980632782,58,1.16892409324646,RRTConnectkConfigDefault,1,4.273940086364746,1.16892409324646,1.7029665652616652,11.298675239478005,1.0,"{'range': 10.205925636219954, 'type': 'geometric::RRTConnect'}",
356.97923398017883,59,0.5218150615692139,RRTConnectkConfigDefault,1,2.796755075454712,0.5218150615692139,1.7026917326368411,6.6290697974319235,1.0,"{'range': 11.180215779675688, 'type': 'geometric::RRTConnect'}",
363.462867975235,60,0.30027294158935547,RRTConnectkConfigDefault,1,2.3707151412963867,0.30027294158935547,1.702932158287496,7.923210226454635,1.0,"{'range': 5.178256303974654, 'type': 'geometric::RRTConnect'}",
364.35037112236023,61,3,RRTConnectkConfigDefault,1,0.0,0.0,0.0,0.0,0.0,"{'range': 14.901827533790446, 'type': 'geometric::RRTConnect'}",
