Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
44,13,1,0.0356121063232,0,1.0,15686777,0.0356121063232,0.0,1,0.0,5,10.393802165980901,SAT,,0.127,
45,13,4,0.0402810573578,0,1.0,5412823,0.0402810573578,0.0,1,0.0,5,10.434083223338702,SAT,,0.114,
46,13,3,1.0,0,1.0,13757434,2.39432811737,0.0,0,0.0,5,12.828411340708701,TIMEOUT,,2.438,
47,7,2,0.0250270366669,0,1.0,12908281,0.0250270366669,0.0,1,0.0,6,12.853438377375602,SAT,,0.067,
48,14,4,0.0158801078796,0,1.0,16049169,0.0158801078796,0.0,1,0.0,6,12.869318485255201,SAT,,0.035,
49,14,2,0.0186171531677,0,1.0,12908281,0.0186171531677,0.0,1,0.0,6,12.887935638422901,SAT,,0.079,
50,14,5,0.0219061374664,0,1.0,7163446,0.0219061374664,0.0,1,0.0,6,12.909841775889301,SAT,,0.078,
51,14,2,0.0192539691925,0,1.0,14371703,0.0192539691925,0.0,1,0.0,6,12.929095745081801,SAT,,0.053,
52,14,5,0.0180521011353,0,1.0,15753149,0.0180521011353,0.0,1,0.0,6,12.947147846217101,SAT,,0.077,
53,14,1,0.0102028846741,0,1.0,15686777,0.0102028846741,0.0,1,0.0,6,12.957350730891202,SAT,,0.052,
54,14,2,0.0105180740356,0,1.0,8765092,0.0105180740356,0.0,1,0.0,6,12.967868804926802,SAT,,0.052,
55,14,1,0.0214188098907,0,1.0,5320365,0.0214188098907,0.0,1,0.0,6,12.989287614817503,SAT,,0.059,
56,14,3,0.414196014404,0,1.0,8435516,0.414196014404,0.0,1,0.0,6,13.403483629221503,SAT,,0.433,
57,14,4,0.0285348892212,0,1.0,5412823,0.0285348892212,0.0,1,0.0,6,13.432018518442703,SAT,,0.084,
58,14,3,0.402244091034,0,1.0,13757434,0.402244091034,0.0,1,0.0,6,13.834262609476703,SAT,,0.46,
59,14,4,0.0400819778442,0,1.0,15375424,0.0400819778442,0.0,1,0.0,6,13.874344587320902,SAT,,0.13,
60,14,3,0.614233970642,0,1.0,1009110,0.614233970642,0.0,1,0.0,6,14.488578557962901,SAT,,0.722,
61,14,1,0.0210239887238,0,1.0,8756526,0.0210239887238,0.0,1,0.0,6,14.5096025466867,SAT,,0.059,
62,14,5,0.0233609676361,0,1.0,6750928,0.0233609676361,0.0,1,0.0,6,14.5329635143228,SAT,,0.104,
63,15,3,1.0,0,1.0,1009110,2.63828682899,0.0,0,0.0,6,17.1712503433128,TIMEOUT,,2.714,
64,14,3,0.574858903885,0,1.0,9751078,0.574858903885,0.0,1,0.0,7,17.7461092471978,SAT,,0.703,
65,16,2,0.0240671634674,0,1.0,14371703,0.0240671634674,0.0,1,0.0,7,17.7701764106652,SAT,,0.089,
66,14,5,0.0461800098419,0,1.0,12680961,0.0461800098419,0.0,1,0.0,7,17.816356420507102,SAT,,0.078,
67,17,1,0.0141088962555,0,1.0,15686777,0.0141088962555,0.0,1,0.0,7,17.830465316762602,SAT,,0.053,
68,17,5,0.0460510253906,0,1.0,15753149,0.0460510253906,0.0,1,0.0,7,17.876516342153202,SAT,,0.155,
