"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Full Configuration","Predicted Performance (if available)",
"0.0"," 1.7976931348623157E308","0.0","1","0.0", " x1='2.5', x2='7.5'","NaN"
"0.546324887"," 24.129964","0.753","1","0.44673425700000013", " x1='2.5', x2='7.5'","NaN"
"0.8090631779999997"," 22.186004","1.409","2","0.6098743600000001", " x1='5.641033444826812', x2='3.2533363935330657'","24.129964"
"1.038014532"," 14.784381","1.668","4","0.6383421709999999", " x1='-2.034847066963317', x2='6.759819375446674'","24.129964"
"1.2593000809999997"," 14.000493","1.863","6","0.6596525259999999", " x1='4.809399867625894', x2='3.085950565064751'","24.129964"
"1.4793361969999999"," 9.769043","2.121","8","0.6798593909999999", " x1='-2.9628701716438055', x2='8.813463060472278'","24.129964"
"2.1186589170000003"," 4.377818","2.987","13","0.8190975310000002", " x1='-2.2519629263413767', x2='9.58789158570742'","53.63372488888889"
"3.9009543120000014"," 3.362623","4.685","29","1.001234683", " x1='-3.2361198135736666', x2='10.793978421218968'","34.47796673333333"
"4.117202842000001"," 1.60428","4.919","31","1.017513015", " x1='-2.953233953216612', x2='10.808796983846682'","34.47796673333333"
"4.3895911650000015"," 1.602161","5.355","33","1.090027616", " x1='-2.9628701716438055', x2='10.824271088379467'","24.395997591269843"
"4.816729644000002"," 1.501714","5.791","37","1.116984684", " x1='-2.688924376027221', x2='10.843825427794158'","32.84011704126984"
"5.247496721000001"," 1.357725","6.296","41","1.1479425019999998", " x1='-2.848058115927263', x2='10.839665196224342'","32.84011704126984"
"6.904582796999996"," 1.340049","9.115","55","1.4050216300000002", " x1='-2.8896532818909924', x2='10.878335516889884'","46.90496172412699"
"10.944336217999982"," 0.966978","13.39","92","1.7445515390000002", " x1='-3.265837576214523', x2='13.279198465213499'","32.83566385"
"11.83034974999998"," 0.966978","14.196","92","1.8306391080000002", " x1='-3.265837576214523', x2='13.279198465213499'","3.034042917261904"
