n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,7.047361850738525,0.4980781078338623,BiTRRTkConfigDefault,1,3.1848948001861572,0.4980781078338623,1.7028961693862017,8.882048893270806,1.0,"{'init_temperature': 0.0005928446182250184, 'temp_change_factor': 0.8442657485810175, 'cost_threshold': 0.29753460654447234, 'range': 12.724050907883472, 'frountier_node_ratio': 0.6235636967859725, 'type': 'geometric::BiTRRT', 'frountier_threshold': 85794.5617622757}",
2,14.68383502960205,0.32871198654174805,BiTRRTkConfigDefault,1,3.5639400482177734,0.32871198654174805,1.7028213158844143,7.728762864863939,1.0,"{'init_temperature': 5.6712977317443196e-05, 'temp_change_factor': 0.27265629458011326, 'cost_threshold': 0.8360787635373778, 'range': 12.201314058754852, 'frountier_node_ratio': 0.47997717237505744, 'type': 'geometric::BiTRRT', 'frountier_threshold': 47766.511732135}",
3,23.58503484725952,0.3353238105773926,BiTRRTkConfigDefault,1,3.9031360149383545,0.3353238105773926,1.702955547561679,8.986582877719366,1.0,"{'init_temperature': 0.00033739616041726845, 'temp_change_factor': 0.6481718720511973, 'cost_threshold': 0.4736080452737106, 'range': 14.361611868400395, 'frountier_node_ratio': 0.14035078041264518, 'type': 'geometric::BiTRRT', 'frountier_threshold': 36824.1539840548}",
4,32.616556882858276,0.4586491584777832,BiTRRTkConfigDefault,1,3.41585111618042,0.4586491584777832,1.7028685875360732,7.540156121342329,1.0,"{'init_temperature': 0.0008009107519796445, 'temp_change_factor': 0.5204774795512049, 'cost_threshold': 0.7586156243223574, 'range': 10.837426555416162, 'frountier_node_ratio': 0.5820197920751072, 'type': 'geometric::BiTRRT', 'frountier_threshold': 67887.95301189604}",
5,44.43149995803833,0.8324642181396484,BiTRRTkConfigDefault,1,7.715753793716431,0.8324642181396484,1.7028426760713469,14.269301035026892,1.0,"{'init_temperature': 0.00010590760718779217, 'temp_change_factor': 0.47360041934665753, 'cost_threshold': 0.32414100779321414, 'range': 11.080080839221477, 'frountier_node_ratio': 0.21655035442437193, 'type': 'geometric::BiTRRT', 'frountier_threshold': 18633.234332676}",
6,60.94741487503052,0.9478988647460938,BiTRRTkConfigDefault,1,7.371380805969238,0.9478988647460938,1.7027014435774808,8.460157233671236,1.0,"{'init_temperature': 0.0001496748671836832, 'temp_change_factor': 0.2223213882515877, 'cost_threshold': 0.9023485831739845, 'range': 13.548717285388133, 'frountier_node_ratio': 0.4499499899112277, 'type': 'geometric::BiTRRT', 'frountier_threshold': 38648.898112586205}",
7,72.45318984985352,0.4743640422821045,BiTRRTkConfigDefault,1,5.152166128158569,0.4743640422821045,1.7027687986741193,7.350926383122887,1.0,"{'init_temperature': 9.92803503589739e-05, 'temp_change_factor': 0.969809067746749, 'cost_threshold': 0.6078306687154679, 'range': 2.6465528185270735, 'frountier_node_ratio': 0.35815216696952507, 'type': 'geometric::BiTRRT', 'frountier_threshold': 65314.003579793774}",
8,83.97303700447083,0.7747390270233154,BiTRRTkConfigDefault,1,4.173535108566284,0.7747390270233154,1.7027615221853019,7.687608037821375,1.0,"{'init_temperature': 0.00032504722900835256, 'temp_change_factor': 0.03842542647273473, 'cost_threshold': 0.9952995676778879, 'range': 14.388344102505357, 'frountier_node_ratio': 0.652790317005491, 'type': 'geometric::BiTRRT', 'frountier_threshold': 63427.40579573352}",
9,86.11284303665161,3.0,BiTRRTkConfigDefault,1,0.09083008766174316,0.26140284538269043,0.0003776062270412901,0.0003838315699391349,0.0,"{'init_temperature': 0.0005818503294385345, 'temp_change_factor': 0.4143685882263689, 'cost_threshold': 0.31720174206929613, 'range': 9.390300506864838, 'frountier_node_ratio': 0.3380076148388918, 'type': 'geometric::BiTRRT', 'frountier_threshold': 47469.7502288413}",
10,89.81523704528809,3.0,BiTRRTkConfigDefault,1,0.0730898380279541,0.03813600540161133,0.00031451003504313636,0.00032222802768228255,0.0,"{'init_temperature': 0.0007783454820259093, 'temp_change_factor': 0.9495710534507423, 'cost_threshold': 0.971945002499666, 'range': 0.3022173706204366, 'frountier_node_ratio': 0.6228460955466696, 'type': 'geometric::BiTRRT', 'frountier_threshold': 66252.68669500444}",
11,115.92154288291931,0.8172659873962402,BiTRRTkConfigDefault,1,4.099062919616699,0.8172659873962402,1.7015050563954748,7.592052453214845,1.0,"{'init_temperature': 0.000218782411115708, 'temp_change_factor': 0.382583797379054, 'cost_threshold': 0.4353127617618042, 'range': 4.553319016721151, 'frountier_node_ratio': 0.0, 'type': 'geometric::BiTRRT', 'frountier_threshold': 13121.877962400902}",
12,146.79096293449402,0.5260648727416992,BiTRRTkConfigDefault,1,4.394299030303955,0.5260648727416992,1.7017364320231643,7.529760745238969,1.0,"{'init_temperature': 0.001, 'temp_change_factor': 0.5450770649852698, 'cost_threshold': 1.0, 'range': 11.1370505848938, 'frountier_node_ratio': 0.7739752498935674, 'type': 'geometric::BiTRRT', 'frountier_threshold': 90925.35638001977}",
13,173.07616090774536,3.0,BiTRRTkConfigDefault,1,0.025377988815307617,3.0231189727783203,0.0,0.0,0.0,"{'init_temperature': 0.00041161890670492554, 'temp_change_factor': 1.0, 'cost_threshold': 0.0, 'range': 14.466360092494096, 'frountier_node_ratio': 0.0, 'type': 'geometric::BiTRRT', 'frountier_threshold': 6356.7257961069945}",
