Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,24.129964,0,1.7976931348623157E308,-1,0.0,0.0,1,24.129964,0,0.0,SAT,,0.3,
2,2,1,22.186004,0,1.7976931348623157E308,-1,0.0,0.0,1,22.186004,1,0.0,SAT,,0.056,
3,3,1,43.852353,0,1.7976931348623157E308,-1,0.0,0.0,1,43.852353,1,0.0,SAT,,0.081,
4,4,1,14.784381,0,1.7976931348623157E308,-1,0.0,0.0,1,14.784381,1,0.0,SAT,,0.113,
5,5,1,158.557726,0,1.7976931348623157E308,-1,0.0,0.0,1,158.557726,1,0.0,SAT,,0.083,
6,6,1,14.000493,0,1.7976931348623157E308,-1,0.0,0.0,1,14.000493,1,0.0,SAT,,0.037,
7,7,1,52.151301,0,1.7976931348623157E308,-1,0.0,0.0,1,52.151301,1,0.0,SAT,,0.07,
8,8,1,9.769043,0,1.7976931348623157E308,-1,0.0,0.0,1,9.769043,1,0.0,SAT,,0.058,
9,9,1,23.488633,0,1.7976931348623157E308,-1,0.0,0.0,1,23.488633,1,0.0,SAT,,0.057,
10,10,1,46.489483,0,1.7976931348623157E308,-1,0.0,0.0,1,46.489483,1,0.0,SAT,,0.065,
11,11,1,22.822544,0,1.7976931348623157E308,-1,0.0,0.0,1,22.822544,1,0.0,SAT,,0.033,
12,12,1,97.658188,0,1.7976931348623157E308,-1,0.0,0.0,1,97.658188,1,0.0,SAT,,0.048,
13,13,1,4.377818,0,1.7976931348623157E308,-1,0.0,0.0,1,4.377818,2,0.0,SAT,,0.085,
14,14,1,9.880687,0,1.7976931348623157E308,-1,0.0,0.0,1,9.880687,2,0.0,SAT,,0.039,
15,15,1,49.354663,0,1.7976931348623157E308,-1,0.0,0.0,1,49.354663,2,0.0,SAT,,0.077,
16,16,1,18.828819,0,1.7976931348623157E308,-1,0.0,0.0,1,18.828819,2,0.0,SAT,,0.084,
17,17,1,40.790036,0,1.7976931348623157E308,-1,0.0,0.0,1,40.790036,2,0.0,SAT,,0.055,
18,18,1,63.856286,0,1.7976931348623157E308,-1,0.0,0.0,1,63.856286,2,0.0,SAT,,0.056,
19,19,1,22.708432,0,1.7976931348623157E308,-1,0.0,0.0,1,22.708432,2,0.0,SAT,,0.057,
20,20,1,61.975603,0,1.7976931348623157E308,-1,0.0,0.0,1,61.975603,2,0.0,SAT,,0.053,
21,21,1,16.104472,0,1.7976931348623157E308,-1,0.0,0.0,1,16.104472,2,0.0,SAT,,0.058,
22,22,1,75.049572,0,1.7976931348623157E308,-1,0.0,0.0,1,75.049572,2,0.0,SAT,,0.072,
23,23,1,12.765367,0,1.7976931348623157E308,-1,0.0,0.0,1,12.765367,3,0.0,SAT,,0.06,
24,24,1,64.66123,0,1.7976931348623157E308,-1,0.0,0.0,1,64.66123,3,0.0,SAT,,0.053,
25,25,1,8.368177,0,1.7976931348623157E308,-1,0.0,0.0,1,8.368177,3,0.0,SAT,,0.043,
26,26,1,16.864328,0,1.7976931348623157E308,-1,0.0,0.0,1,16.864328,3,0.0,SAT,,0.059,
27,27,1,7.789371,0,1.7976931348623157E308,-1,0.0,0.0,1,7.789371,3,0.0,SAT,,0.065,
28,28,1,152.303759,0,1.7976931348623157E308,-1,0.0,0.0,1,152.303759,3,0.0,SAT,,0.062,
29,29,1,3.362623,0,1.7976931348623157E308,-1,0.0,0.0,1,3.362623,3,0.0,SAT,,0.027,
30,30,1,28.448685,0,1.7976931348623157E308,-1,0.0,0.0,1,28.448685,3,0.0,SAT,,0.059,
31,31,1,1.60428,0,1.7976931348623157E308,-1,0.0,0.0,1,1.60428,3,0.0,SAT,,0.054,
32,32,1,5.532487,0,1.7976931348623157E308,-1,0.0,0.0,1,5.532487,3,0.0,SAT,,0.087,
33,33,1,1.602161,0,1.7976931348623157E308,-1,0.0,0.0,1,1.602161,4,0.0,SAT,,0.09,
34,34,1,28.020244,0,1.7976931348623157E308,-1,0.0,0.0,1,28.020244,4,0.0,SAT,,0.089,
35,35,1,5.325211,0,1.7976931348623157E308,-1,0.0,0.0,1,5.325211,4,0.0,SAT,,0.058,
36,36,1,94.662687,0,1.7976931348623157E308,-1,0.0,0.0,1,94.662687,4,0.0,SAT,,0.065,
37,37,1,1.501714,0,1.7976931348623157E308,-1,0.0,0.0,1,1.501714,4,0.0,SAT,,0.071,
38,38,1,92.768736,0,1.7976931348623157E308,-1,0.0,0.0,1,92.768736,4,0.0,SAT,,0.074,
39,39,1,30.495025,0,1.7976931348623157E308,-1,0.0,0.0,1,30.495025,4,0.0,SAT,,0.108,
40,40,1,140.069036,0,1.7976931348623157E308,-1,0.0,0.0,1,140.069036,4,0.0,SAT,,0.061,
41,41,1,1.357725,0,1.7976931348623157E308,-1,0.0,0.0,1,1.357725,4,0.0,SAT,,0.081,
42,42,1,23.263523,0,1.7976931348623157E308,-1,0.0,0.0,1,23.263523,4,0.0,SAT,,0.175,
43,43,1,28.522458,0,1.7976931348623157E308,-1,0.0,0.0,1,28.522458,4,0.0,SAT,,0.142,
44,44,1,20.173915,0,1.7976931348623157E308,-1,0.0,0.0,1,20.173915,5,0.0,SAT,,0.133,
